,model,algo,params,mean_squared_error,mean_abs_error,median_abs_error
40,40.0,fbProphet,"{'cap': 1053757.0001627507, 'weekly_seasonality': True, 'growth': 'logistic'}",0.003777937379665265,0.05291962554188679,0.04713567911579543
28,28.0,fbProphet,"{'cap': 678896.99026399886, 'weekly_seasonality': True, 'growth': 'logistic'}",0.006121476341489017,0.05691222774152819,0.03587302487150147
36,36.0,fbProphet,"{'cap': 928174.63094225293, 'weekly_seasonality': True, 'growth': 'logistic'}",0.006917022563106109,0.05924833543035451,0.035237458494266516
24,24.0,fbProphet,"{'cap': 554502.9146250058, 'weekly_seasonality': True, 'growth': 'logistic'}",0.00808102081503289,0.06340734815742904,0.03683253388512202
26,26.0,fbProphet,"{'cap': 616874.49482596456, 'weekly_seasonality': True, 'growth': 'logistic'}",0.00869761563209234,0.06535049137437957,0.03794179331872033
17,17.0,fbProphet,{'growth': 'linear'},0.009051997368654618,0.06660884655421663,0.03874473928929732
46,46.0,PyFluxARIMA,"{'ma': 6, 'ar': 12, 'family': 'Cauchy'}",0.006595353441719828,0.07341398718231515,0.0811253033449925
38,38.0,fbProphet,"{'cap': 990972.74217673473, 'weekly_seasonality': True, 'growth': 'logistic'}",0.011603167950355884,0.07592004673252262,0.0447498886032147
44,44.0,fbProphet,"{'cap': 1178970.773305431, 'weekly_seasonality': True, 'growth': 'logistic'}",0.01205886474153237,0.07713387644111684,0.04555218182069628
34,34.0,fbProphet,"{'cap': 865225.53654667188, 'weekly_seasonality': True, 'growth': 'logistic'}",0.012209638648691042,0.0780073305937571,0.04622469142151915
42,42.0,fbProphet,"{'cap': 1116711.7875145415, 'weekly_seasonality': True, 'growth': 'logistic'}",0.013387959757545996,0.08195106706751018,0.04914157490615225
32,32.0,fbProphet,"{'cap': 803225.14657316369, 'weekly_seasonality': True, 'growth': 'logistic'}",0.01632125452862028,0.092935643942395,0.058459162510901226
18,18.0,fbProphet,"{'cap': 368623.85199748125, 'weekly_seasonality': True, 'growth': 'logistic'}",0.018097760553994608,0.09962276492001897,0.06439297619824871
48,48.0,PyFluxARIMA,"{'ma': 10, 'ar': 13, 'family': 'Cauchy'}",0.012746424900584048,0.10168314330936808,0.10936689652638203
45,45.0,fbProphet,"{'cap': 1179117.0895718506, 'weekly_seasonality': False, 'growth': 'logistic'}",0.017420079359295168,0.10335906720702612,0.06973707357907845
43,43.0,fbProphet,"{'cap': 1116781.0720478988, 'weekly_seasonality': False, 'growth': 'logistic'}",0.017487738641532233,0.10372753279549415,0.07042449021527103
1,1.0,Regression,"{'degree': 1, 'mode': 'linear'}",0.015640229887239586,0.10424106474856638,0.09299775054449927
41,41.0,fbProphet,"{'cap': 1053887.6389263582, 'weekly_seasonality': False, 'growth': 'logistic'}",0.017609731328787855,0.10426966501533311,0.07093666241078189
5,5.0,Regression,"{'degree': 1, 'mode': 'ridge'}",0.01580006045495608,0.1047735043882267,0.09348028861258281
39,39.0,fbProphet,"{'cap': 991095.51064653613, 'weekly_seasonality': False, 'growth': 'logistic'}",0.017734530241307927,0.10484330430324303,0.07159220322992411
9,9.0,Regression,"{'degree': 1, 'mode': 'lasso'}",0.015850599431379148,0.10497897405206917,0.09364130800537435
35,35.0,fbProphet,"{'cap': 866081.95348570845, 'weekly_seasonality': False, 'growth': 'logistic'}",0.017861095734322572,0.10523629987274981,0.07177976290684479
13,13.0,Regression,"{'degree': 1, 'mode': 'bayesian_ridge'}",0.01596513003347606,0.10532189372248818,0.09399060119102667
37,37.0,fbProphet,"{'cap': 928404.42885112145, 'weekly_seasonality': False, 'growth': 'logistic'}",0.017862963372393646,0.10542065132134545,0.07224680242865655
33,33.0,fbProphet,"{'cap': 803374.06450707256, 'weekly_seasonality': False, 'growth': 'logistic'}",0.01811101843948321,0.10653974329467557,0.07335374412624082
29,29.0,fbProphet,"{'cap': 678980.80070367153, 'weekly_seasonality': False, 'growth': 'logistic'}",0.01833673088633551,0.10762313518469112,0.07519176760450405
27,27.0,fbProphet,"{'cap': 617064.81651843467, 'weekly_seasonality': False, 'growth': 'logistic'}",0.018381936928435285,0.10782143564083604,0.07482560853207204
31,31.0,fbProphet,"{'cap': 741209.60917375947, 'weekly_seasonality': False, 'growth': 'logistic'}",0.018332303352898233,0.1078460192918797,0.07505725614495237
25,25.0,fbProphet,"{'cap': 554605.42798601196, 'weekly_seasonality': False, 'growth': 'logistic'}",0.018547833614511768,0.1084302237553163,0.07568028788367162
21,21.0,fbProphet,"{'cap': 430881.81536709622, 'weekly_seasonality': False, 'growth': 'logistic'}",0.018694630427677182,0.10903391160463259,0.07611684793952433
23,23.0,fbProphet,"{'cap': 492770.0297817954, 'weekly_seasonality': False, 'growth': 'logistic'}",0.018695869755335503,0.10923813945654094,0.07676641444524299
19,19.0,fbProphet,"{'cap': 368691.80839505862, 'weekly_seasonality': False, 'growth': 'logistic'}",0.018994682128821213,0.11035631812873278,0.07804973884407845
20,20.0,fbProphet,"{'cap': 430166.88857036555, 'weekly_seasonality': True, 'growth': 'logistic'}",0.026072172562346903,0.1259434458607558,0.08740182731422369
30,30.0,fbProphet,"{'cap': 741026.5194905448, 'weekly_seasonality': True, 'growth': 'logistic'}",0.029475088431482548,0.1354601767402865,0.09728112493005317
22,22.0,fbProphet,"{'cap': 492587.98369894869, 'weekly_seasonality': True, 'growth': 'logistic'}",0.041378715713546836,0.16518242784520779,0.12683873605631935
50,50.0,PyFluxARIMA,"{'ma': 45, 'ar': 49, 'family': 'Normal'}",0.0545262252877433,0.2196122690852122,0.25200425873700544
12,12.0,Regression,"{'degree': 4, 'mode': 'lasso'}",0.29497460227200767,0.3575381596207497,0.13529289082796508
47,47.0,PyFluxARIMA,"{'ma': 17, 'ar': 39, 'family': 'Normal'}",0.19795515390835097,0.43352902939445875,0.45075150629400096
0,0.0,Angle Approx Chain Algorithm (GLChainAlgo),{'Standard'},0.5647833575084502,0.6181483271349455,0.7054710017120058
3,3.0,Regression,"{'degree': 3, 'mode': 'linear'}",0.4877925284833869,0.62305147304408,0.5968699230049577
7,7.0,Regression,"{'degree': 3, 'mode': 'ridge'}",0.4905409199139313,0.6248112795464795,0.5985472701070962
15,15.0,Regression,"{'degree': 3, 'mode': 'bayesian_ridge'}",0.49607763138289473,0.6283239450849831,0.6018605392221892
11,11.0,Regression,"{'degree': 3, 'mode': 'lasso'}",0.645927625236478,0.7100059326685024,0.6698403435608823
2,2.0,Regression,"{'degree': 2, 'mode': 'linear'}",1.5590937740043929,1.076378742416639,0.9761275882332427
6,6.0,Regression,"{'degree': 2, 'mode': 'ridge'}",1.5757040654542864,1.0821025046706285,0.9813125439526801
10,10.0,Regression,"{'degree': 2, 'mode': 'lasso'}",1.5802031719781313,1.0835954869690039,0.9826048043902419
14,14.0,Regression,"{'degree': 2, 'mode': 'bayesian_ridge'}",1.5933273067836855,1.088155925216412,0.98678016791274
4,4.0,Regression,"{'degree': 4, 'mode': 'linear'}",30.122024639736342,3.9813334509678007,2.6535366099309696
8,8.0,Regression,"{'degree': 4, 'mode': 'ridge'}",30.321298510178572,3.994474201310126,2.66229963584425
16,16.0,Regression,"{'degree': 4, 'mode': 'bayesian_ridge'}",30.560172324965293,4.010136690430155,2.672728394473171
49,49.0,PyFluxARIMA,"{'ma': 8, 'ar': 13, 'family': 'Cauchy'}",65.86156655801874,4.0247913741113015,0.5459827282918457
51,51.0,PyFluxARIMA,"{'ma': 6, 'ar': 10, 'family': 'Cauchy'}",86.69523466972414,5.386734502941293,1.654579167640123
